INFO  - 2014-11-29 19:38:10.060; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8490 (1486166362748354560)]} 0 0
INFO  - 2014-11-29 19:38:10.065; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8491 (1486166362752548864)]} 0 1
INFO  - 2014-11-29 19:38:10.067; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8492 (1486166362755694592)]} 0 0
INFO  - 2014-11-29 19:38:10.070; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8493 (1486166362758840320)]} 0 0
INFO  - 2014-11-29 19:38:10.073; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8494 (1486166362761986048)]} 0 0
INFO  - 2014-11-29 19:38:10.077; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8495 (1486166362765131776)]} 0 1
INFO  - 2014-11-29 19:38:10.079; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8496 (1486166362768277504)]} 0 0
INFO  - 2014-11-29 19:38:10.083; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8497 (1486166362772471808)]} 0 0
INFO  - 2014-11-29 19:38:10.087; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8498 (1486166362775617536)]} 0 1
INFO  - 2014-11-29 19:38:10.089; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8499 (1486166362778763264)]} 0 0
INFO  - 2014-11-29 19:38:10.092; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[85 (1486166362781908992)]} 0 0
INFO  - 2014-11-29 19:38:10.099; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[850 (1486166362789249024)]} 0 4
INFO  - 2014-11-29 19:38:10.102; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8500 (1486166362792394752)]} 0 0
